Institution,Website,Category,State,City,ImageCount,LinkCount,FormCount,StylesheetCount,ScriptCount,CertificateInfo,HostInfo,Title,Description
Anoka-Ramsey Community College,https://www.anokaramsey.edu/,College,MN,Anoka,17,171,1,4,6,,,,Anoka-Ramsey Community College is a multi-campus institution and a member of the Minnesota State Colleges and Universities system.
Bemidji State University,https://www.bemidjistate.edu/,College,MN,Bemidji,12,73,2,4,6,,,,Bemidji State University offers an immersive education that goes beyond the classroom. Build your career with our 70+ undergrad programs and 8 grad degrees.
Briar Cliff University,https://www.briarcliff.edu/,College,IA,Sioux City,1,300,1,4,0,,,Briar Cliff University,"The lifelong learning place, preparing ethical world changers."
Central College,https://www.central.edu/,College,IA,Pella,6,255,2,9,6,,,,"Central College in Pella, Iowa - Founded in 1853"
Central Michigan University,https://www.cmich.edu/,College,MI,Mount Pleasant,22,160,1,6,15,,,,"CMU is a public research university in Michigan that offers degree programs in Mount Pleasant, online and locations across North America. Est. 1892."
College of DuPage,https://www.cod.edu/,College,IL,College of DuPage,28,169,2,5,17,,,,
Cornell College,https://www.cornellcollege.edu/,College,IA,Mount Vernon,0,0,0,0,1,,,,
DePaul University,https://www.depaul.edu/,College,IL,Chicago,5,162,1,12,26,,,,
Des Moines Area Community College,https://www.dmacc.edu/,College,IA,Des Moines,12,117,1,20,16,,,,
Dordt University,https://www.dordt.edu/,College,IA,Sioux Center,68,169,1,2,3,,,,"Dordt University is a Christian college located in Sioux Center, Iowa, offering 40+ degrees and ranked #1 for student engagement by the WSJ."
Eastern Illinois University,https://www.eiu.edu/,College,IL,Charleston,26,143,1,4,4,,,,
Elgin Community College,https://elgin.edu/,College,IL,Elgin,14,112,0,4,13,,,,"At Elgin Community College, we commit to student success and empower students to reach their full potential through our dedicated faculty and programs."
Ferris State University,https://www.ferris.edu/,College,MI,Big Rapids,10,160,1,10,15,,,,
Fox Valley Technical College,https://fvtc.edu/,College,WI,Appleton,11,165,1,5,11,,,,
Gateway Technical College,https://www.gtc.edu/,College,WI,Kenosha,22,52,1,6,4,,,,"Gateway Technical College, located in Kenosha, Racine, and Walworth counties, provides education, training, leadership, and technological resources to meet the changing needs of students, employers, and communities."
Graceland University,https://www.graceland.edu/,College,IA,Lamoni,295,280,3,0,11,,,,"With over 35 areas of study, you'll be sure to find a direction that’s right for your future in one of our in-person or online programs."
Grand Valley State University,https://www.gvsu.edu/,College,MI,Allendale,11,72,1,1,0,,,,"At Grand Valley State University, we empower learners in their pursuits, professions, and purpose. The university enriches society through excellent teaching, active scholarship, advancement of equity, and public service."
