Category,State,City,Institution,Website
College,IA,Sioux City,Briar Cliff University,https://www.briarcliff.edu/
College,IA,Pella,Central College,https://www.central.edu/
College,IA,Cedar Rapids,Coe College,https://www.coe.edu/
College,IA,Mount Vernon,Cornell College,https://www.cornellcollege.edu/
College,IA,Des Moines,Des Moines Area Community College,https://www.dmacc.edu/
College,IA,Sioux Center,Dordt University,https://www.dordt.edu/
College,IA,Lamoni,Graceland University,https://www.graceland.edu/
College,IA,Des Moines,Grand View University,https://www.grandview.edu/
College,IA,Fort Dodge,Iowa Central Community College,https://www.iowacentral.edu/
College,IA,Ames,Iowa State University,https://www.iastate.edu/
College,IA,Dubuque,Loras College,https://www.loras.edu/
College,IA,Cedar Rapids,Mount Mercy University,https://www.mtmercy.edu/
College,IA,Mason City,North Iowa Area Community College,https://www.niacc.edu/
College,IA,Indianola,Simpson College,https://www.simpson.edu/
College,IA,Iowa City,University of Iowa,https://uiowa.edu/
College,IA,Cedar Falls,University of Northern Iowa,https://www.uni.edu/
College,IA,Sioux City,Western Iowa Tech Community College,https://www.witcc.edu/
College,IL,Chicago,City Colleges of Chicago,https://www.ccc.edu/
College,IL,College of DuPage,College of DuPage,https://www.cod.edu/
College,IL,Chicago,DePaul University,https://www.depaul.edu/
College,IL,Charleston,Eastern Illinois University,https://www.eiu.edu/
College,IL,Elgin,Elgin Community College,https://elgin.edu/
College,IL,Chicago,Illinois Institute of Technology,https://www.iit.edu/
College,IL,Normal,Illinois State University,https://illinoisstate.edu/
College,IL,Chicago,Loyola University Chicago,https://www.luc.edu/
College,IL,Mchenry,McHenry County College,https://www.mchenry.edu/
College,IL,DeKalb,Northern Illinois University,https://www.niu.edu/
College,IL,Chicago,Northeastern Illinois University,https://www.neiu.edu/
College,IL,Evanston,Northwestern University,https://www.northwestern.edu/
College,IL,Des Plaines,Oakton Community College,https://www.oakton.edu/
College,IL,Rockford,Rock Valley College,https://www.rockvalleycollege.edu/
College,IL,Carbondale,Southern Illinois University-Carbondale,https://www.siuc.edu/
College,IL,Edwardsville,Southern Illinois University-Edwardsville,https://www.siue.edu/
College,IL,Chicago,University of Chicago,https://www.uchicago.edu/
College,IL,Chicago,University of Illinois at Chicago,https://www.uic.edu/
College,IL,Urbana,University of Illinois Urbana-Champaign,https://illinois.edu/
College,IL,Springfield,University of Illinois-Springfield,https://www.uis.edu/
College,IL,Macomb,Western Illinois University,https://www.wiu.edu/
College,MI,Mount Pleasant,Central Michigan University,https://www.cmich.edu/
College,MI,Ypsilanti,Eastern Michigan University,https://www.emich.edu/
College,MI,Big Rapids,Ferris State University,https://www.ferris.edu/
College,MI,Allendale,Grand Valley State University,https://www.gvsu.edu/
College,MI,Kalamazoo,Kalamazoo College,https://www.kzoo.edu/
College,MI,Battle Creek,Kellogg Community College,https://www.kellogg.edu/
College,MI,Sault Ste. Marie,Lake Superior State University,https://www.lssu.edu/
College,MI,Southfield,Lawrence Technological University,https://www.ltu.edu/
College,MI,East Lansing,Michigan State University,https://www.msu.edu/
College,MI,Houghton,Michigan Technological University,https://www.mtu.edu/
College,MI,Marquette,Northern Michigan University,https://www.nmu.edu/
College,MI,Rochester,Oakland University,https://www.oakland.edu/
College,MI,University Center,Saginaw Valley State University,https://www.svsu.edu/
College,MI,Detroit,University of Detroit Mercy,https://www.udmercy.edu/
College,MI,Ann Arbor,University of Michigan-Ann Arbor,https://umich.edu/
College,MI,Dearborn,University of Michigan-Dearborn,https://umdearborn.edu/
College,MI,Flint,University of Michigan-Flint,https://www.umflint.edu/
College,MI,Detroit,Wayne State University,https://wayne.edu/
College,MI,Kalamazoo,Western Michigan University,https://wmich.edu/
College,MI,Ann Arbor,Washtenaw Community College,https://www.wccnet.edu/
College,MN,Anoka,Anoka-Ramsey Community College,https://www.anokaramsey.edu/
College,MN,Bemidji,Bemidji State University,https://www.bemidjistate.edu/
College,MN,Brainerd,Central Lakes College,https://www.clcmn.edu/
College,MN,Moorhead,Concordia College,https://www.concordiacollege.edu/
College,MN,St. Peter,Gustavus Adolphus College,https://gustavus.edu/
College,MN,St. Paul,Hamline University,https://www.hamline.edu/
College,MN,Brooklyn Park,Hennepin Technical College,https://www.hennepintech.edu/
College,MN,Mankato,Minnesota State University-Mankato,https://mnsu.edu/
College,MN,Moorhead,Minnesota State University-Moorhead,https://www.mnstate.edu/
