Category,State,City,Institution,Website
College,IA,Sioux City,Briar Cliff University,https://www.briarcliff.edu/
College,IA,Pella,Central College,https://www.central.edu/
College,IA,Cedar Rapids,Coe College,https://www.coe.edu/
College,IA,Mount Vernon,Cornell College,https://www.cornellcollege.edu/
College,IA,Des Moines,Des Moines Area Community College,https://www.dmacc.edu/
College,IA,Sioux Center,Dordt University,https://www.dordt.edu/
College,IA,Lamoni,Graceland University,https://www.graceland.edu/
College,IA,Des Moines,Grand View University,https://www.grandview.edu/
College,IA,Fort Dodge,Iowa Central Community College,https://www.iowacentral.edu/
College,IA,Ames,Iowa State University,https://www.iastate.edu/
College,IA,Dubuque,Loras College,https://www.loras.edu/
College,IA,Cedar Rapids,Mount Mercy University,https://www.mtmercy.edu/
College,IA,Mason City,North Iowa Area Community College,https://www.niacc.edu/
College,IA,Indianola,Simpson College,https://www.simpson.edu/
College,IA,Iowa City,University of Iowa,https://uiowa.edu/
College,IA,Cedar Falls,University of Northern Iowa,https://www.uni.edu/
College,IA,Sioux City,Western Iowa Tech Community College,https://www.witcc.edu/
