Category,State,City,Institution,Website
College,IL,Chicago,City Colleges of Chicago,https://www.ccc.edu/
College,IL,College of DuPage,College of DuPage,https://www.cod.edu/
College,IL,Chicago,DePaul University,https://www.depaul.edu/
College,IL,Charleston,Eastern Illinois University,https://www.eiu.edu/
College,IL,Elgin,Elgin Community College,https://elgin.edu/
College,IL,Chicago,Illinois Institute of Technology,https://www.iit.edu/
College,IL,Normal,Illinois State University,https://illinoisstate.edu/
College,IL,Chicago,Loyola University Chicago,https://www.luc.edu/
College,IL,Mchenry,McHenry County College,https://www.mchenry.edu/
College,IL,DeKalb,Northern Illinois University,https://www.niu.edu/
College,IL,Chicago,Northeastern Illinois University,https://www.neiu.edu/
College,IL,Evanston,Northwestern University,https://www.northwestern.edu/
College,IL,Des Plaines,Oakton Community College,https://www.oakton.edu/
College,IL,Rockford,Rock Valley College,https://www.rockvalleycollege.edu/
College,IL,Carbondale,Southern Illinois University-Carbondale,https://www.siuc.edu/
College,IL,Edwardsville,Southern Illinois University-Edwardsville,https://www.siue.edu/
College,IL,Chicago,University of Chicago,https://www.uchicago.edu/
College,IL,Chicago,University of Illinois at Chicago,https://www.uic.edu/
College,IL,Urbana,University of Illinois Urbana-Champaign,https://illinois.edu/
College,IL,Springfield,University of Illinois-Springfield,https://www.uis.edu/
College,IL,Macomb,Western Illinois University,https://www.wiu.edu/
