Category,State,City,Institution,Website
College,MI,Mount Pleasant,Central Michigan University,https://www.cmich.edu/
College,MI,Ypsilanti,Eastern Michigan University,https://www.emich.edu/
College,MI,Big Rapids,Ferris State University,https://www.ferris.edu/
College,MI,Allendale,Grand Valley State University,https://www.gvsu.edu/
College,MI,Kalamazoo,Kalamazoo College,https://www.kzoo.edu/
College,MI,Battle Creek,Kellogg Community College,https://www.kellogg.edu/
College,MI,Sault Ste. Marie,Lake Superior State University,https://www.lssu.edu/
College,MI,Southfield,Lawrence Technological University,https://www.ltu.edu/
College,MI,East Lansing,Michigan State University,https://www.msu.edu/
College,MI,Houghton,Michigan Technological University,https://www.mtu.edu/
College,MI,Marquette,Northern Michigan University,https://www.nmu.edu/
College,MI,Rochester,Oakland University,https://www.oakland.edu/
College,MI,University Center,Saginaw Valley State University,https://www.svsu.edu/
College,MI,Detroit,University of Detroit Mercy,https://www.udmercy.edu/
College,MI,Ann Arbor,University of Michigan-Ann Arbor,https://umich.edu/
College,MI,Dearborn,University of Michigan-Dearborn,https://umdearborn.edu/
College,MI,Flint,University of Michigan-Flint,https://www.umflint.edu/
College,MI,Detroit,Wayne State University,https://wayne.edu/
College,MI,Kalamazoo,Western Michigan University,https://wmich.edu/
College,MI,Ann Arbor,Washtenaw Community College,https://www.wccnet.edu/
