Category,State,City,Institution,Website
College,MN,Anoka,Anoka-Ramsey Community College,https://www.anokaramsey.edu/
College,MN,Bemidji,Bemidji State University,https://www.bemidjistate.edu/
College,MN,Brainerd,Central Lakes College,https://www.clcmn.edu/
College,MN,Moorhead,Concordia College,https://www.concordiacollege.edu/
College,MN,St. Peter,Gustavus Adolphus College,https://gustavus.edu/
College,MN,St. Paul,Hamline University,https://www.hamline.edu/
College,MN,Brooklyn Park,Hennepin Technical College,https://www.hennepintech.edu/
College,MN,Mankato,Minnesota State University-Mankato,https://mnsu.edu/
College,MN,Moorhead,Minnesota State University-Moorhead,https://www.mnstate.edu/
College,MN,Bloomington,Normandale Community College,https://www.normandale.edu/
College,MN,Brooklyn Park,North Hennepin Community College,https://www.nhcc.edu/
College,MN,St. Cloud,Saint Cloud State University,https://www.stcloudstate.edu/
College,MN,Collegeville,Saint John's University,https://www.csbsju.edu/
College,MN,Winona,Saint Mary's University of Minnesota,https://www.smumn.edu/
College,MN,Marshall,Southwest Minnesota State University,https://www.smsu.edu/
College,MN,Crookston,University of Minnesota-Crookston,https://www.crk.umn.edu/
College,MN,Duluth,University of Minnesota-Duluth,https://www.d.umn.edu/
College,MN,Morris,University of Minnesota-Morris,https://www.morris.umn.edu/
College,MN,Rochester,University of Minnesota-Rochester,https://r.umn.edu/
College,MN,Twin Cities,University of Minnesota-Twin Cities,https://twin-cities.umn.edu/
College,MN,Winona,Winona State University,https://www.winona.edu/
