Category,State,City,Institution,Website
Apparel,California,San Francisco,Levi Strauss & Co.,https://www.levi.com
Apparel,California,San Francisco,Gap Inc.,https://www.gap.com
Apparel,California,San Francisco,Old Navy,https://www.oldnavy.com
Apparel,California,San Francisco,Banana Republic,https://www.bananarepublic.com
Apparel,California,San Francisco,The North Face,https://www.thenorthface.com
Apparel,California,Los Angeles,Reformation,https://www.thereformation.com
Apparel,California,Los Angeles,Fashion Nova,https://www.fashionnova.com
Apparel,California,Irvine,Tillys,https://www.tillys.com
Apparel,California,San Clemente,RVCA,https://www.rvca.com
Apparel,California,Huntington Beach,Rip Curl,https://www.ripcurl.com
Apparel,California,Vista,Prana,https://www.prana.com
Apparel,Oregon,Beaverton,Nike,https://www.nike.com
Apparel,Oregon,Portland,Columbia Sportswear,https://www.columbia.com
Apparel,Oregon,Portland,Under Armour,https://www.underarmour.com
Apparel,Washington,Seattle,Eddie Bauer,https://www.eddiebauer.com
Apparel,New York,New York,Calvin Klein,https://www.calvinklein.us
Apparel,New York,New York,Ralph Lauren,https://www.ralphlauren.com
Apparel,New York,New York,Michael Kors,https://www.michaelkors.com
Apparel,New York,New York,Kate Spade,https://www.katespade.com
Apparel,New York,New York,Tory Burch,https://www.toryburch.com
Apparel,New York,New York,Coach,https://www.coach.com
Apparel,New York,New York,DKNY,https://www.dkny.com
Apparel,New York,New York,Hugo Boss,https://www.hugoboss.com
Apparel,New York,New York,Lacoste,https://www.lacoste.com
Apparel,New York,New York,J.Crew,https://www.jcrew.com
Apparel,North Carolina,Greensboro,Wrangler,https://www.wrangler.com
Apparel,North Carolina,Greensboro,Lee,https://www.lee.com
Apparel,North Carolina,Winston-Salem,Champion,https://www.champion.com
Apparel,Pennsylvania,Pittsburgh,American Eagle Outfitters,https://www.ae.com
Apparel,Pennsylvania,Pittsburgh,ModCloth,https://www.modcloth.com
Apparel,Florida,Orlando,Forever 21,https://www.forever21.com
Apparel,Texas,Dallas,Neiman Marcus,https://www.neimanmarcus.com
Apparel,Texas,Dallas,Fossil,https://www.fossil.com
Apparel,Texas,Austin,Yeti,https://www.yeti.com
Apparel,Georgia,Atlanta,Spanx,https://www.spanx.com
Apparel,Georgia,Alpharetta,Oxford Industries,https://www.oxfordinc.com
Apparel,Massachusetts,Boston,Converse,https://www.converse.com
Apparel,Massachusetts,Canton,Reebok,https://www.reebok.com
Apparel,New Jersey,Secaucus,The Children's Place,https://www.childrensplace.com
Apparel,New Jersey,Lyndhurst,Adidas USA,https://www.adidas.com
Apparel,Illinois,Chicago,Trunk Club,https://www.trunkclub.com
Apparel,Illinois,Chicago,Lands' End,https://www.landsend.com
Apparel,Illinois,Chicago,True Religion,https://www.truereligion.com
Apparel,Ohio,Columbus,Victoria's Secret,https://www.victoriassecret.com
Apparel,Ohio,Columbus,Bath & Body Works,https://www.bathandbodyworks.com
Apparel,South Carolina,Fort Mill,Movement Mortgage Apparel,https://www.movementapparel.com
Apparel,Virginia,Richmond,Carhartt,https://www.carhartt.com
Apparel,Minnesota,Minneapolis,Target,https://www.target.com
Apparel,Wisconsin,Dodgeville,Lands' End,https://www.landsend.com
Apparel,Michigan,Ann Arbor,Moosejaw,https://www.moosejaw.com
Apparel,Colorado,Boulder,Outdoor Research,https://www.outdoorresearch.com
Apparel,Colorado,Boulder,Backcountry,https://www.backcountry.com
Apparel,Utah,Salt Lake City,Cotopaxi,https://www.cotopaxi.com
Apparel,Washington,Seattle,Filson,https://www.filson.com
Apparel,Tennessee,Nashville,Genesco,https://www.genesco.com
Apparel,Ohio,Cincinnati,Kenner,https://www.kenner.com
