Category,State,City,Institution,Website
College,IA,Sioux City,Briar Cliff University,https://www.briarcliff.edu/
College,IA,Pella,Central College,https://www.central.edu/
College,IA,Cedar Rapids,Coe College,https://www.coe.edu/
College,IA,Mount Vernon,Cornell College,https://www.cornellcollege.edu/
College,IA,Sioux Center,Dordt University,https://www.dordt.edu/
College,IA,Lamoni,Graceland University,https://www.graceland.edu/
College,IA,Des Moines,Grand View University,https://www.grandview.edu/
College,IA,Dubuque,Loras College,https://www.loras.edu/
College,IA,Cedar Rapids,Mount Mercy University,https://www.mtmercy.edu/
College,IA,Indianola,Simpson College,https://www.simpson.edu/
College,IL,College of DuPage,College of DuPage,https://www.cod.edu/
College,IL,Chicago,DePaul University,https://www.depaul.edu/
College,IL,Elgin,Elgin Community College,https://elgin.edu/
College,IL,Chicago,Illinois Institute of Technology,https://www.iit.edu/
College,IL,Chicago,Loyola University Chicago,https://www.luc.edu/
College,IL,Mchenry,McHenry County College,https://www.mchenry.edu/
College,IL,Evanston,Northwestern University,https://www.northwestern.edu/
College,IL,Des Plaines,Oakton Community College,https://www.oakton.edu/
College,IL,Rockford,Rock Valley College,https://www.rockvalleycollege.edu/
College,IL,Chicago,City Colleges of Chicago,https://www.ccc.edu/
College,MI,Kalamazoo,Kalamazoo College,https://www.kzoo.edu/
College,MI,Battle Creek,Kellogg Community College,https://www.kellogg.edu/
College,MI,Detroit,Wayne State University,https://wayne.edu/
College,MI,Kalamazoo,Western Michigan University,https://wmich.edu/
College,MI,Ann Arbor,Washtenaw Community College,https://www.wccnet.edu/
College,MN,Anoka,Anoka-Ramsey Community College,https://www.anokaramsey.edu/
College,MN,Bloomington,Normandale Community College,https://www.normandale.edu/
College,MN,Brooklyn Park,North Hennepin Community College,https://www.nhcc.edu/
College,MN,Brainerd,Central Lakes College,https://www.clcmn.edu/
College,MN,Moorhead,Concordia College,https://www.concordiacollege.edu/
College,MN,St. Peter,Gustavus Adolphus College,https://gustavus.edu/
College,MN,Brooklyn Park,Hennepin Technical College,https://www.hennepintech.edu/
College,WI,Appleton,Fox Valley Technical College,https://fvtc.edu/
College,WI,Green Bay,Northeast Wisconsin Technical College,https://www.nwtc.edu/
College,WI,West Bend,Moraine Park Technical College,https://www.morainepark.edu/
College,WI,Cleveland,Lakeshore Technical College,https://gotoltc.edu/
College,WI,Madison,Madison College,https://madisoncollege.edu/
College,WI,Stevens Point,Mid-State Technical College,https://www.mstc.edu/
College,WI,Milwaukee,Milwaukee Area Technical College,https://www.matc.edu/
College,WI,Wausau,Northcentral Technical College,https://www.ntc.edu/
College,WI,Waukesha,Waukesha County Technical College,https://www.wctc.edu/
College,WI,Kenosha,Gateway Technical College,https://www.gtc.edu/
College,WI,La Crosse,Western Technical College,https://www.westerntc.edu/
