Category,State,City,Institution,Website
Publishing,NY,New York,Random House,https://www.randomhouse.com/
Publishing,NY,New York,Penguin Books,https://www.penguinrandomhouse.com/
Publishing,NY,New York,HarperCollins,https://www.harpercollins.com/
Publishing,CA,Los Angeles,Simon & Schuster,https://www.simonandschuster.com/
Publishing,CA,San Francisco,Chronicle Books,https://www.chroniclebooks.com/
Publishing,NY,New York,Macmillan Publishers,https://us.macmillan.com/
Publishing,MA,Cambridge,MIT Press,https://mitpress.mit.edu/
Publishing,NY,New York,Workman Publishing,https://www.workman.com/
Publishing,IL,Chicago,Sourcebooks,https://www.sourcebooks.com/
Publishing,NY,New York,Little Brown and Company,https://www.littlebrown.com/
Publishing,NY,New York,Scholastic,https://www.scholastic.com/
Publishing,MA,Boston,Houghton Mifflin Harcourt,https://www.hmhco.com/
Publishing,NY,New York,Oxford University Press,https://global.oup.com/
Publishing,NY,New York,New York University Press,https://nyupress.org/
Publishing,WA,Seattle,University of Washington Press,https://uwpress.uw.edu/
Publishing,NY,New York,Routledge,https://www.routledge.com/
Publishing,CA,Santa Monica,Quirk Books,https://www.quirkbooks.com/
Publishing,NY,New York,St. Martin's Press,https://us.macmillan.com/stmartinspress/
Publishing,CA,Los Angeles,TarcherPerigee,https://www.penguinrandomhouse.com/imprints/perigee/
Publishing,CA,Los Angeles,Greenleaf Book Group,https://www.greenleafbookgroup.com/
Publishing,CT,New Haven,Yale University Press,https://yalebooks.yale.edu/
Publishing,TX,Austin,University of Texas Press,https://utpress.utexas.edu/
Publishing,CO,Boulder,Westview Press,https://www.westviewpress.com/
Publishing,MN,Minneapolis,Milkweed Editions,https://milkweed.org/
Publishing,CA,San Diego,Soft Skull Press,https://www.softskull.com/
Publishing,IL,Chicago,Haymarket Books,https://www.haymarketbooks.org/
Publishing,NY,New York,Beacon Press,https://www.beacon.org/
Publishing,CA,Oakland,PM Press,https://www.pmpress.org/
Publishing,NY,New York,Amber Books,https://www.amberbooks.com/
Publishing,NY,New York,Triumph Books,https://www.triumphbooks.com/
Publishing,CA,Los Angeles,Amistad Press,https://www.harpercollins.com/amistad/
Publishing,NY,New York,Alfred A. Knopf,https://knopfdoubleday.com/
Publishing,CA,Santa Barbara,Parallax Press,https://www.parallax.org/
Publishing,NY,New York,Princeton University Press,https://press.princeton.edu/
Publishing,IL,Chicago,The University of Chicago Press,https://www.press.uchicago.edu/
Publishing,NY,New York,Little A,https://www.littlea.com/
Publishing,VA,Alexandria,Potomac Books,https://www.potomacbooksinc.com/
Publishing,NY,New York,Cambridge University Press,https://www.cambridge.org/
Publishing,MA,Boston,Beacon Hill Press,https://beaconhillpress.com/
Publishing,CA,Los Angeles,Blackstone Publishing,https://www.blackstonepublishing.com/
Publishing,NY,New York,Book Publishing Company,https://www.bookpublishingcompany.com/
Publishing,NY,New York,Workman Publishing Company,https://www.workman.com/
Publishing,WA,Bellevue,Microsoft Press,https://www.microsoft.com/en-us/mspress/
Publishing,CA,Los Angeles,Counterpoint Press,https://www.counterpointpress.com/
Publishing,NY,New York,University of the State of New York,https://www.nysed.gov/
Publishing,TX,Houston,Ingram Content Group,https://www.ingramcontent.com/
Publishing,CO,Denver,University Press of Colorado,https://www.upcolorado.com/
Publishing,NY,New York,The New Press,https://thenewpress.com/
Publishing,WA,Seattle,Seattle University Press,https://www.seattleu.edu/
Publishing,NY,New York,Algonquin Books,https://www.algonquin.com/
Publishing,CA,Santa Cruz,Book Publishing,https://www.bookpublishing.com/
Publishing,MA,Northampton,Levellers Press,https://levellerspress.com/
Publishing,NY,New York,Springer Nature,https://www.springernature.com/
Publishing,PA,Philadelphia,Temple University Press,https://tupress.temple.edu/
Publishing,TX,College Station,Texas A&M University Press,https://www.tamupress.com/
