Category,State,City,Institution,Website
FedCemetery,Alabama,Montevallo,Alabama National Cemetery,https://www.cem.va.gov/cems/nchp/alabama.asp
FedCemetery,Alabama,Mobile,Mobile National Cemetery,https://www.cem.va.gov/cems/nchp/mobile.asp
FedCemetery,Alaska,Fort Richardson,Fort Richardson National Cemetery,https://www.cem.va.gov/cems/nchp/ftrichardson.asp
FedCemetery,Arizona,Phoenix,National Memorial Cemetery of Arizona,https://www.cem.va.gov/cems/nchp/nmca.asp
FedCemetery,Arkansas,Fort Smith,Fort Smith National Cemetery,https://www.cem.va.gov/cems/nchp/ftsmith.asp
FedCemetery,California,Riverside,Riverside National Cemetery,https://www.cem.va.gov/cems/nchp/riverside.asp
FedCemetery,California,San Bruno,Golden Gate National Cemetery,https://www.cem.va.gov/cems/nchp/goldengate.asp
FedCemetery,California,San Diego,Fort Rosecrans National Cemetery,https://www.cem.va.gov/cems/nchp/ftrosecrans.asp
FedCemetery,California,Dixon,Sacramento Valley National Cemetery,https://www.cem.va.gov/cems/nchp/sacramento.asp
FedCemetery,Colorado,Denver,Fort Logan National Cemetery,https://www.cem.va.gov/cems/nchp/ftlogan.asp
FedCemetery,Florida,Bushnell,Florida National Cemetery,https://www.cem.va.gov/cems/nchp/florida.asp
FedCemetery,Florida,St. Augustine,St. Augustine National Cemetery,https://www.cem.va.gov/cems/nchp/staustin.asp
FedCemetery,Georgia,Canton,Georgia National Cemetery,https://www.cem.va.gov/cems/nchp/georgia.asp
FedCemetery,Hawaii,Honolulu,National Memorial Cemetery of the Pacific,https://www.cem.va.gov/cems/nchp/nmcp.asp
FedCemetery,Illinois,Elwood,Abraham Lincoln National Cemetery,https://www.cem.va.gov/cems/nchp/abrahamlincoln.asp
FedCemetery,Indiana,Marion,Marion National Cemetery,https://www.cem.va.gov/cems/nchp/marion.asp
FedCemetery,Indiana,New Albany,New Albany National Cemetery,https://www.cem.va.gov/cems/nchp/newalbany.asp
FedCemetery,Iowa,Keokuk,Keokuk National Cemetery,https://www.cem.va.gov/cems/nchp/keokuk.asp
FedCemetery,Kansas,Leavenworth,Leavenworth National Cemetery,https://www.cem.va.gov/cems/nchp/leavenworth.asp
FedCemetery,Kentucky,Nicholasville,Camp Nelson National Cemetery,https://www.cem.va.gov/cems/nchp/campnelson.asp
FedCemetery,Louisiana,Pineville,Alexandria National Cemetery,https://www.cem.va.gov/cems/nchp/alexandriala.asp
FedCemetery,Maine,Togus,Togus National Cemetery,https://www.cem.va.gov/cems/nchp/togus.asp
FedCemetery,Maryland,Baltimore,Baltimore National Cemetery,https://www.cem.va.gov/cems/nchp/baltimore.asp
FedCemetery,Massachusetts,Bourne,Massachusetts National Cemetery,https://www.cem.va.gov/cems/nchp/massachusetts.asp
FedCemetery,Michigan,Holly,Great Lakes National Cemetery,https://www.cem.va.gov/cems/nchp/greatlakes.asp
FedCemetery,Minnesota,Fort Snelling,Fort Snelling National Cemetery,https://www.cem.va.gov/cems/nchp/ftsnelling.asp
FedCemetery,Mississippi,Biloxi,Biloxi National Cemetery,https://www.cem.va.gov/cems/nchp/biloxi.asp
FedCemetery,Missouri,St. Louis,Jefferson Barracks National Cemetery,https://www.cem.va.gov/cems/nchp/jeffbarracks.asp
FedCemetery,Montana,Fort Harrison,Fort Harrison VA Medical Center Cemetery,https://www.cem.va.gov/cems/nchp/ftharrison.asp
FedCemetery,Nebraska,Maxwell,Fort McPherson National Cemetery,https://www.cem.va.gov/cems/nchp/ftmcpherson.asp
FedCemetery,Nevada,Fernley,Northern Nevada Veterans Memorial Cemetery,https://veterans.nv.gov/page/northern-nevada-veterans-memorial-cemetery
FedCemetery,New Jersey,Arneytown,Brigadier General William C. Doyle Memorial Cemetery,https://www.cem.va.gov/cems/nchp/williamcdoyle.asp
FedCemetery,New Mexico,Santa Fe,Santa Fe National Cemetery,https://www.cem.va.gov/cems/nchp/santafe.asp
FedCemetery,New York,Farmingdale,Long Island National Cemetery,https://www.cem.va.gov/cems/nchp/longisland.asp
FedCemetery,North Carolina,Salisbury,Salisbury National Cemetery,https://www.cem.va.gov/cems/nchp/salisbury.asp
FedCemetery,North Dakota,Mandan,North Dakota Veterans Cemetery,https://www.nd.gov/veterans/north-dakota-veterans-cemetery
FedCemetery,Ohio,Dayton,Dayton National Cemetery,https://www.cem.va.gov/cems/nchp/dayton.asp
FedCemetery,Oklahoma,Fort Gibson,Fort Gibson National Cemetery,https://www.cem.va.gov/cems/nchp/fortgibson.asp
