Category,State,City,Institution,Website
FedDept,DC,Washington,Department of State,https://www.state.gov/
FedDept,DC,Washington,Department of the Treasury,https://home.treasury.gov/
FedDept,DC,Washington,Department of Defense,https://www.defense.gov/
FedDept,DC,Washington,Department of Justice,https://www.justice.gov/
FedDept,DC,Washington,Department of the Interior,https://www.doi.gov/
FedDept,DC,Washington,Department of Agriculture,https://www.usda.gov/
FedDept,DC,Washington,Department of Commerce,https://www.commerce.gov/
FedDept,DC,Washington,Department of Labor,https://www.dol.gov/
FedDept,DC,Washington,Department of Health and Human Services,https://www.hhs.gov/
FedDept,DC,Washington,Department of Education,https://www.ed.gov/
FedDept,DC,Washington,Department of Energy,https://www.energy.gov/
FedDept,DC,Washington,Department of Transportation,https://www.transportation.gov/
FedDept,DC,Washington,Department of Housing and Urban Development,https://www.hud.gov/
FedDept,DC,Washington,Department of Veterans Affairs,https://www.va.gov/
FedDept,DC,Washington,Department of Homeland Security,https://www.dhs.gov/
FedDept,DC,Washington,Environmental Protection Agency,https://www.epa.gov/
FedDept,DC,Washington,Nationwide Intelligence Director,https://www.dni.gov/
FedDept,DC,Washington,Office of Management and Budget,https://www.whitehouse.gov/omb/
FedDept,DC,Washington,U.S. Small Business Administration,https://www.sba.gov/
FedDept,DC,Washington,Social Security Administration,https://www.ssa.gov/
FedDept,DC,Washington,U.S. Agency for International Development,https://www.usaid.gov/
FedDept,DC,Washington,U.S. General Services Administration,https://www.gsa.gov/
FedDept,DC,Washington,U.S. National Archives and Records Administration,https://www.archives.gov/
FedDept,DC,Washington,U.S. Office of Personnel Management,https://www.opm.gov/
