Category,State,City,Institution,Website
FedLab,IL,Argonne,Argonne National Laboratory,https://www.anl.gov/
FedLab,NM,Los Alamos,Los Alamos National Laboratory,https://www.lanl.gov/
FedLab,TN,Oak Ridge,Oak Ridge National Laboratory,https://www.ornl.gov/
FedLab,CA,Berkeley,Lawrence Berkeley National Laboratory,https://www.lbl.gov/s
FedLab,NM,Albuquerque,Sandia National Laboratories,https://www.sandia.gov/
FedLab,WA,Richland,Pacific Northwest National Laboratory,https://www.pnnl.gov/
FedLab,NY,Upton,Brookhaven National Laboratory,https://www.bnl.gov/
FedLab,IL,Batavia,Fermi National Accelerator Laboratory,https://www.fnal.gov/
FedLab,ID,Idaho Falls,Idaho National Laboratory,https://inl.gov/
FedLab,CO,Golden,National Renewable Energy Laboratory,https://www.nrel.gov/
FedLab,SC,Aiken,Savannah River National Laboratory,https://srnl.doe.gov/
FedLab,CA,Menlo Park,SLAC National Accelerator Laboratory,https://www.slac.stanford.edu/
FedLab,VA,Newport News,Thomas Jefferson National Accelerator Facility,https://www.jlab.org/
FedLab,CA,Pasadena,California Institute of Technology (Caltech),https://www.caltech.edu/
FedLab,TX,Lake Jackson,Texas A&M University Galveston,https://www.tamug.edu/
FedLab,MD,Rockville,National Institute of Standards and Technology,https://www.nist.gov/
FedLab,CA,Los Angeles,Los Angeles National Laboratory,https://www.lanl.gov/
FedLab,CA,Livermore,Lawrence Livermore National Laboratory,https://www.llnl.gov/
FedLab,KY,Lexington,University of Kentucky Research Foundation,https://www.uky.edu/
FedLab,WV,White Oak,National Energy Technology Laboratory,https://www.netl.doe.gov/
FedLab,HI,Honolulu,Pacific International Center for High Technology Research,https://www.picht.org/
