Category,State,City,Institution,Website
FedLibrary,District of Columbia,Washington,Library of Congress,https://www.loc.gov
FedLibrary,District of Columbia,Washington,National Archives and Records Administration (NARA),https://www.archives.gov
FedLibrary,Alabama,Montgomery,Alabama Department of Archives and History,https://www.archives.alabama.gov
FedLibrary,Alaska,Juneau,Alaska State Library,https://library.alaska.gov
FedLibrary,Arizona,Phoenix,Arizona State Library,https://azlibrary.gov
FedLibrary,California,Sacramento,California State Library,https://www.library.ca.gov
FedLibrary,Colorado,Denver,Colorado State Archives,https://www.colorado.gov/archives
FedLibrary,Connecticut,Hartford,Connecticut State Library,https://ctstatelibrary.org
FedLibrary,Florida,Tallahassee,Florida State Archives,https://dos.myflorida.com/library-archives
FedLibrary,Georgia,Atlanta,Georgia Archives,https://www.georgiaarchives.org
FedLibrary,Hawaii,Honolulu,Hawaii State Public Library System,https://www.librarieshawaii.org
FedLibrary,Illinois,Springfield,Abraham Lincoln Presidential Library,https://presidentlincoln.illinois.gov
FedLibrary,Indiana,Indianapolis,Indiana State Library,https://www.in.gov/library
FedLibrary,Kansas,Topeka,Kansas State Library,https://kslib.info
FedLibrary,Kentucky,Frankfort,Kentucky Department for Libraries and Archives,https://kdla.ky.gov
FedLibrary,Louisiana,Baton Rouge,Louisiana State Archives,https://www.sos.la.gov/HistoricalResources/ResearchHistoricalRecords
FedLibrary,Maryland,Annapolis,Maryland State Archives,https://msa.maryland.gov
FedLibrary,Massachusetts,Boston,Massachusetts Archives,https://www.sec.state.ma.us/arc
FedLibrary,Michigan,Lansing,Michigan State Library,https://www.michigan.gov/libraryofmichigan
FedLibrary,Minnesota,St. Paul,Minnesota Historical Society Library,https://www.mnhs.org/library
FedLibrary,Mississippi,Jackson,Mississippi Department of Archives and History,https://www.mdah.ms.gov
FedLibrary,Missouri,Jefferson City,Missouri State Archives,https://www.sos.mo.gov/archives
FedLibrary,Montana,Helena,Montana State Library,https://msl.mt.gov
FedLibrary,Nebraska,Lincoln,Nebraska State Historical Society Archives,https://history.nebraska.gov/collections
FedLibrary,New Jersey,Trenton,New Jersey State Library,https://www.njstatelib.org
FedLibrary,New Mexico,Santa Fe,New Mexico State Library,https://nmstatelibrary.org
FedLibrary,New York,Albany,New York State Archives,https://www.archives.nysed.gov
FedLibrary,North Carolina,Raleigh,North Carolina State Archives,https://archives.ncdcr.gov
FedLibrary,Ohio,Columbus,Ohio State Library,https://library.ohio.gov
FedLibrary,Oklahoma,Oklahoma City,Oklahoma Department of Libraries,https://libraries.ok.gov
FedLibrary,Oregon,Salem,Oregon State Archives,https://sos.oregon.gov/archives
FedLibrary,Pennsylvania,Harrisburg,Pennsylvania State Archives,https://www.phmc.pa.gov/Archives
FedLibrary,Texas,Austin,Texas State Library and Archives Commission,https://www.tsl.texas.gov
FedLibrary,Utah,Salt Lake City,Utah State Archives,https://archives.utah.gov
FedLibrary,Vermont,Montpelier,Vermont State Archives,https://sos.vermont.gov/vsara
FedLibrary,Virginia,Richmond,Library of Virginia,https://www.lva.virginia.gov
FedLibrary,Washington,Olympia,Washington State Archives,https://www.sos.wa.gov/archives
FedLibrary,Wisconsin,Madison,Wisconsin Historical Society Library and Archives,https://www.wisconsinhistory.org/Records/Article/CS15398
