Category,State,City,Institution,Website
FedPark,AK,Denali,Denali National Park and Preserve,https://www.nps.gov/dena/index.htm
FedPark,AK,Gates of the Arctic,Gates of the Arctic National Park and Preserve,https://www.nps.gov/gaar/index.htm
FedPark,AZ,Grand Canyon,Grand Canyon National Park,https://www.nps.gov/grca/index.htm
FedPark,AR,Hot Springs,Hot Springs National Park,https://www.nps.gov/hosp/index.htm
FedPark,CA,Yosemite,Yosemite National Park,https://www.nps.gov/yose/index.htm
FedPark,CA,Joshua Tree,Joshua Tree National Park,https://www.nps.gov/jotr/index.htm
FedPark,CA,Sequoia,Sequoia and Kings Canyon National Parks,https://www.nps.gov/seki/index.htm
FedPark,CO,Rocky Mountain,Rocky Mountain National Park,https://www.nps.gov/romo/index.htm
FedPark,CT,Weir Farm,Weir Farm National Historical Park,https://www.nps.gov/wefa/index.htm
FedPark,DC,Rock Creek Park,Rock Creek Park,https://www.nps.gov/rocr/index.htm
FedPark,FL,Everglades,Everglades National Park,https://www.nps.gov/ever/index.htm
FedPark,GA,Chattahoochee River,Chattahoochee River National Recreation Area,https://www.nps.gov/chatt/index.htm
FedPark,HI,Haleakalā,Haleakalā National Park,https://www.nps.gov/hale/index.htm
FedPark,HI,Hawai'i Volcanoes,Hawai'i Volcanoes National Park,https://www.nps.gov/havo/index.htm
FedPark,ID,Yellowstone,Yellowstone National Park,https://www.nps.gov/yell/index.htm
FedPark,IL,Indiana Dunes,Indiana Dunes National Park,https://www.nps.gov/indu/index.htm
FedPark,IN,Indiana Dunes,Indiana Dunes National Park,https://www.nps.gov/indu/index.htm
FedPark,IA,Effigy Mounds,Effigy Mounds National Monument,https://www.nps.gov/efmo/index.htm
FedPark,KS,Tallgrass Prairie,Tallgrass Prairie National Preserve,https://www.nps.gov/tapr/index.htm
FedPark,KY,Red River Gorge,Red River Gorge Geological Area,https://www.nps.gov/redi/index.htm
FedPark,LA,New Orleans Jazz,New Orleans Jazz National Historical Park,https://www.nps.gov/jazz/index.htm
FedPark,ME,Acadia,Acadia National Park,https://www.nps.gov/acad/index.htm
FedPark,MD,Assateague Island,Assateague Island National Seashore,https://www.nps.gov/asis/index.htm
FedPark,MA,Minute Man,Minute Man National Historical Park,https://www.nps.gov/mima/index.htm
FedPark,MI,Isle Royale,Isle Royale National Park,https://www.nps.gov/isro/index.htm
FedPark,MN,Voyageurs,Voyageurs National Park,https://www.nps.gov/voya/index.htm
FedPark,MS,Shiloh,Shiloh National Military Park,https://www.nps.gov/shil/index.htm
FedPark,MO,Gateway Arch,Gateway Arch National Park,https://www.nps.gov/arch/index.htm
FedPark,MT,Glacier,Glacier National Park,https://www.nps.gov/glac/index.htm
FedPark,NE,Chimney Rock,Chimney Rock National Historic Site,https://www.nps.gov/chro/index.htm
FedPark,NV,Red Rock Canyon,Red Rock Canyon National Conservation Area,https://www.blm.gov/visit/red-rock-canyon
FedPark,NH,White Mountain,White Mountain National Forest,https://www.fs.usda.gov/main/whitemountain/home
FedPark,NJ,Gateway,Gateway National Recreation Area,https://www.nps.gov/gate/index.htm
FedPark,NM,Carlsbad Caverns,Carlsbad Caverns National Park,https://www.nps.gov/cave/index.htm
FedPark,NY,Yosemite,Yosemite National Park,https://www.nps.gov/yose/index.htm
FedPark,NC,Great Smoky Mountains,Great Smoky Mountains National Park,https://www.nps.gov/grsm/index.htm
FedPark,ND,Theodore Roosevelt,Theodore Roosevelt National Park,https://www.nps.gov/thro/index.htm
FedPark,OH,Cuyahoga Valley,Cuyahoga Valley National Park,https://www.nps.gov/cuva/index.htm
FedPark,OK,Chickasaw,Chickasaw National Recreation Area,https://www.nps.gov/chic/index.htm
FedPark,OR,Crater Lake,Crater Lake National Park,https://www.nps.gov/crla/index.htm
FedPark,PA,Gettysburg,Gettysburg National Military Park,https://www.nps.gov/gett/index.htm
FedPark,RI,Theodore Francis Green,Theodore Francis Green State Airport,https://www.nps.gov/gree/index.htm
FedPark,SC,Charleston,Fort Sumter National Monument,https://www.nps.gov/fosu/index.htm
FedPark,SD,Mount Rushmore,Mount Rushmore National Memorial,https://www.nps.gov/moru/index.htm
FedPark,TN,Great Smoky Mountains,Great Smoky Mountains National Park,https://www.nps.gov/grsm/index.htm
FedPark,TX,Big Bend,Big Bend National Park,https://www.nps.gov/bibe/index.htm
FedPark,UT,Zion,Zion National Park,https://www.nps.gov/zion/index.htm
FedPark,UT,Arches,Arches National Park,https://www.nps.gov/arch/index.htm
FedPark,VT,Marsh-Billings-Rockefeller,Marsh-Billings-Rockefeller National Historical Park,https://www.nps.gov/mabi/index.htm
FedPark,VA,Shenandoah,Shenandoah National Park,https://www.nps.gov/shen/index.htm
FedPark,WA,Mount Rainier,Mount Rainier National Park,https://www.nps.gov/mora/index.htm
FedPark,WV,New River Gorge,New River Gorge National Park and Preserve,https://www.nps.gov/neri/index.htm
FedPark,WI,Devil's Lake,Devil's Lake State Park,https://dnr.wi.gov/topic/parks/name/devilslake/
FedPark,WY,Yellowstone,Yellowstone National Park,https://www.nps.gov/yell/index.htm
