Category,State,City,Institution,Website
StCongress,AL,Montgomery,Alabama State Legislature,https://www.legislature.state.al.us/
StCongress,AK,Juneau,Alaska State Legislature,https://akleg.gov/
StCongress,AZ,Phoenix,Arizona State Legislature,https://azleg.gov/
StCongress,AR,Little Rock,Arkansas General Assembly,https://www.arkleg.state.ar.us/
StCongress,CA,Sacramento,California State Legislature,https://www.legislature.ca.gov/
StCongress,CO,Denver,Colorado General Assembly,https://www.leg.colorado.gov/
StCongress,CT,Hartford,Connecticut General Assembly,https://www.cga.ct.gov/
StCongress,DE,Dover,Delaware General Assembly,https://legis.delaware.gov/
StCongress,FL,Tallahassee,Florida Legislature,https://www.leg.state.fl.us/
StCongress,GA,Atlanta,Georgia General Assembly,https://www.legis.ga.gov/
StCongress,HI,Honolulu,Hawaii State Legislature,https://www.capitol.hawaii.gov/
StCongress,ID,Boise,Idaho Legislature,https://legislature.idaho.gov/
StCongress,IL,Springfield,Illinois General Assembly,https://www.ilga.gov/
StCongress,IN,Indianapolis,Indiana General Assembly,https://iga.in.gov/
StCongress,IA,Des Moines,Iowa General Assembly,https://www.legis.iowa.gov/
StCongress,KS,Topeka,Kansas Legislature,https://www.kslegislature.org/
StCongress,KY,Frankfort,Kentucky General Assembly,https://legislature.ky.gov/
StCongress,LA,Baton Rouge,Louisiana State Legislature,https://www.legis.la.gov/
StCongress,ME,Augusta,Maine State Legislature,https://legislature.maine.gov/
StCongress,MD,Annapolis,Maryland General Assembly,https://mgaleg.maryland.gov/
StCongress,MA,Boston,Massachusetts General Court,https://malegislature.gov/
StCongress,MI,Lansing,Michigan Legislature,https://www.legislature.mi.gov/
StCongress,MN,St. Paul,Minnesota Legislature,https://www.leg.state.mn.us/
StCongress,MS,Jackson,Mississippi Legislature,https://legislature.ms.gov/
StCongress,MO,Jefferson City,Missouri General Assembly,https://www.house.mo.gov/
StCongress,MT,Helena,Montana Legislature,https://leg.mt.gov/
StCongress,NE,Lincoln,Nebraska Unicameral Legislature,https://nebraskalegislature.gov/
StCongress,NV,Carson City,Nevada Legislature,https://www.leg.state.nv.us/
StCongress,NH,Concord,New Hampshire General Court,https://www.gencourt.state.nh.us/
StCongress,NJ,Trenton,New Jersey Legislature,https://www.njleg.state.nj.us/
StCongress,NM,Santa Fe,New Mexico Legislature,https://www.nmlegis.gov/
StCongress,NY,Albany,New York State Legislature,https://www.ny.gov/
StCongress,NC,Raleigh,North Carolina General Assembly,https://www.ncleg.gov/
StCongress,ND,Bismarck,North Dakota Legislative Assembly,https://www.legis.nd.gov/
StCongress,OH,Columbus,Ohio General Assembly,https://www.legislature.ohio.gov/
StCongress,OK,Oklahoma City,Oklahoma Legislature,https://www.oklegislature.gov/
StCongress,OR,Salem,Oregon Legislative Assembly,https://www.oregonlegislature.gov/
StCongress,PA,Harrisburg,Pennsylvania General Assembly,https://www.legis.state.pa.us/
StCongress,RI,Providence,Rhode Island General Assembly,https://www.rilegislature.gov/
StCongress,SC,Columbia,South Carolina General Assembly,https://www.scstatehouse.gov/
StCongress,SD,Pierre,South Dakota Legislature,https://sdlegislature.gov/
StCongress,TN,Nashville,Tennessee General Assembly,https://www.capitol.tn.gov/
StCongress,TX,Austin,Texas Legislature,https://capitol.texas.gov/
StCongress,UT,Salt Lake City,Utah State Legislature,https://le.utah.gov/
StCongress,VT,Montpelier,Vermont General Assembly,https://legislature.vermont.gov/
StCongress,VA,Richmond,Virginia General Assembly,https://virginiageneralassembly.gov/
StCongress,WA,Olympia,Washington State Legislature,https://leg.wa.gov/
StCongress,WV,Charleston,West Virginia Legislature,https://www.wvlegislature.gov/
StCongress,WI,Madison,Wisconsin State Legislature,https://legis.wisconsin.gov/
StCongress,WY,Cheyenne,Wyoming Legislature,https://www.wyoleg.gov/
