Category,State,City,Institution,Website
StGovernor,AL,Montgomery,Governor of Alabama,https://governor.alabama.gov/
StGovernor,AK,Juneau,Governor of Alaska,https://gov.alaska.gov/
StGovernor,AZ,Phoenix,Governor of Arizona,https://azgovernor.gov/
StGovernor,AR,Little Rock,Governor of Arkansas,https://governor.arkansas.gov/
StGovernor,CA,Sacramento,Governor of California,https://www.gov.ca.gov/
StGovernor,CO,Denver,Governor of Colorado,https://www.colorado.gov/governor/
StGovernor,CT,Hartford,Governor of Connecticut,https://portal.ct.gov/Office-of-the-Governor
StGovernor,DE,Dover,Governor of Delaware,https://governor.delaware.gov/
StGovernor,FL,Tallahassee,Governor of Florida,https://www.flgov.com/
StGovernor,GA,Atlanta,Governor of Georgia,https://gov.georgia.gov/
StGovernor,HI,Honolulu,Governor of Hawaii,https://governor.hawaii.gov/
StGovernor,ID,Boise,Governor of Idaho,https://gov.idaho.gov/
StGovernor,IL,Springfield,Governor of Illinois,https://www2.illinois.gov/Pages/default.aspx
StGovernor,IN,Indianapolis,Governor of Indiana,https://www.in.gov/gov/
StGovernor,IA,Des Moines,Governor of Iowa,https://governor.iowa.gov/
StGovernor,KS,Topeka,Governor of Kansas,https://governor.ks.gov/
StGovernor,KY,Frankfort,Governor of Kentucky,https://governor.ky.gov/
StGovernor,LA,Baton Rouge,Governor of Louisiana,https://gov.louisiana.gov/
StGovernor,ME,Augusta,Governor of Maine,https://www.maine.gov/governor/
StGovernor,MD,Annapolis,Governor of Maryland,https://governor.maryland.gov/
StGovernor,MA,Boston,Governor of Massachusetts,https://www.mass.gov/orgs/office-of-the-governor
StGovernor,MI,Lansing,Governor of Michigan,https://www.michigan.gov/governor/
StGovernor,MN,St. Paul,Governor of Minnesota,https://mn.gov/governor/
StGovernor,MS,Jackson,Governor of Mississippi,https://www.governorbryant.com/
StGovernor,MO,Jefferson City,Governor of Missouri,https://governor.mo.gov/
StGovernor,MT,Helena,Governor of Montana,https://governor.mt.gov/
StGovernor,NE,Lincoln,Governor of Nebraska,https://governor.nebraska.gov/
StGovernor,NV,Carson City,Governor of Nevada,https://gov.nv.gov/
StGovernor,NH,Concord,Governor of New Hampshire,https://www.governor.nh.gov/
StGovernor,NJ,Trenton,Governor of New Jersey,https://www.nj.gov/governor/
StGovernor,NM,Santa Fe,Governor of New Mexico,https://www.governor.state.nm.us/
StGovernor,NY,Albany,Governor of New York,https://www.governor.ny.gov/
StGovernor,NC,Raleigh,Governor of North Carolina,https://governor.nc.gov/
StGovernor,ND,Bismarck,Governor of North Dakota,https://vip.sos.nd.gov/PortalList.aspx
StGovernor,OH,Columbus,Governor of Ohio,https://governor.ohio.gov/
StGovernor,OK,Oklahoma City,Governor of Oklahoma,https://www.ok.gov/governor/
StGovernor,OR,Salem,Governor of Oregon,https://www.oregon.gov/gov/Pages/index.aspx
StGovernor,PA,Harrisburg,Governor of Pennsylvania,https://www.governor.pa.gov/
StGovernor,RI,Providence,Governor of Rhode Island,https://www.governor.ri.gov/
StGovernor,SC,Columbia,Governor of South Carolina,https://governor.sc.gov/
StGovernor,SD,Pierre,Governor of South Dakota,https://sd.gov/governor/
StGovernor,TN,Nashville,Governor of Tennessee,https://www.tn.gov/governor/
StGovernor,TX,Austin,Governor of Texas,https://gov.texas.gov/
StGovernor,UT,Salt Lake City,Governor of Utah,https://governor.utah.gov/
StGovernor,VT,Montpelier,Governor of Vermont,https://governor.vermont.gov/
StGovernor,VA,Richmond,Governor of Virginia,https://www.governor.virginia.gov/
StGovernor,WA,Olympia,Governor of Washington,https://www.governor.wa.gov/
StGovernor,WV,Charleston,Governor of West Virginia,https://www.governor.wv.gov/
StGovernor,WI,Madison,Governor of Wisconsin,https://www.gov.wi.gov/
StGovernor,WY,Cheyenne,Governor of Wyoming,https://www.wyoming.gov/governor/
