Category,State,City,Institution,Website
StPolice,Alabama,Montgomery,Alabama Law Enforcement Agency,http://www.alea.gov
StPolice,Alaska,Anchorage,Alaska State Troopers,http://dps.alaska.gov/AST
StPolice,Arizona,Phoenix,Arizona Department of Public Safety,http://www.azdps.gov
StPolice,Arkansas,Little Rock,Arkansas State Police,http://www.asp.arkansas.gov
StPolice,California,Sacramento,California Highway Patrol,http://www.chp.ca.gov
StPolice,Colorado,Denver,Colorado State Patrol,http://www.colorado.gov/csp
StPolice,Connecticut,Middletown,Connecticut State Police,http://portal.ct.gov/DESPP/Division-of-State-Police
StPolice,Delaware,Dover,Delaware State Police,http://dsp.delaware.gov
StPolice,Florida,Tallahassee,Florida Highway Patrol,http://www.flhsmv.gov/fhp
StPolice,Georgia,Atlanta,Georgia State Patrol,http://dps.georgia.gov
StPolice,Hawaii,Honolulu,Hawaii Department of Public Safety,http://dps.hawaii.gov
StPolice,Idaho,Meridian,Idaho State Police,http://isp.idaho.gov
StPolice,Illinois,Springfield,Illinois State Police,http://www.isp.state.il.us
StPolice,Indiana,Indianapolis,Indiana State Police,http://www.in.gov/isp
StPolice,Iowa,Des Moines,Iowa State Patrol,http://dps.iowa.gov/divisions/iowa-state-patrol
StPolice,Kansas,Topeka,Kansas Highway Patrol,http://www.kansashighwaypatrol.org
StPolice,Kentucky,Frankfort,Kentucky State Police,http://kentuckystatepolice.org
StPolice,Louisiana,Baton Rouge,Louisiana State Police,http://www.lsp.org
StPolice,Maine,Augusta,Maine State Police,http://www.maine.gov/dps/msp
StPolice,Maryland,Pikesville,Maryland State Police,http://mdsp.maryland.gov
StPolice,Massachusetts,Framingham,Massachusetts State Police,http://www.mass.gov/orgs/massachusetts-state-police
StPolice,Michigan,Lansing,Michigan State Police,http://www.michigan.gov/msp
StPolice,Minnesota,Saint Paul,Minnesota State Patrol,http://dps.mn.gov/divisions/msp
StPolice,Mississippi,Jackson,Mississippi Highway Patrol,http://www.dps.ms.gov
StPolice,Missouri,Jefferson City,Missouri State Highway Patrol,http://www.mshp.dps.mo.gov
StPolice,Montana,Helena,Montana Highway Patrol,http://dojmt.gov/highwaypatrol
StPolice,Nebraska,Lincoln,Nebraska State Patrol,http://statepatrol.nebraska.gov
StPolice,Nevada,Carson City,Nevada Highway Patrol,http://nhp.nv.gov
StPolice,New Hampshire,Concord,New Hampshire State Police,http://www.nh.gov/safety/divisions/nhsp
StPolice,New Jersey,West Trenton,New Jersey State Police,http://www.njsp.org
StPolice,New Mexico,Santa Fe,New Mexico State Police,http://www.sp.nm.gov
StPolice,New York,Albany,New York State Police,http://www.troopers.ny.gov
StPolice,North Carolina,Raleigh,North Carolina State Highway Patrol,http://www.ncdps.gov
StPolice,North Dakota,Bismarck,North Dakota Highway Patrol,http://www.nd.gov/ndhp
StPolice,Ohio,Columbus,Ohio State Highway Patrol,http://statepatrol.ohio.gov
StPolice,Oklahoma,Oklahoma City,Oklahoma Highway Patrol,http://www.ohp.ok.gov
StPolice,Oregon,Salem,Oregon State Police,http://www.oregon.gov/OSP
StPolice,Pennsylvania,Harrisburg,Pennsylvania State Police,http://www.psp.pa.gov
StPolice,Rhode Island,North Scituate,Rhode Island State Police,http://risp.ri.gov
StPolice,South Carolina,Columbia,South Carolina Highway Patrol,http://www.scdps.gov
StPolice,South Dakota,Pierre,South Dakota Highway Patrol,http://hp.sd.gov
StPolice,Tennessee,Nashville,Tennessee Highway Patrol,http://www.tn.gov/safety
StPolice,Texas,Austin,Texas Department of Public Safety,http://www.dps.texas.gov
StPolice,Utah,Salt Lake City,Utah Highway Patrol,http://highwaypatrol.utah.gov
StPolice,Vermont,Waterbury,Vermont State Police,http://vsp.vermont.gov
StPolice,Virginia,Richmond,Virginia State Police,http://www.vsp.virginia.gov
StPolice,Washington,Olympia,Washington State Patrol,http://www.wsp.wa.gov
StPolice,West Virginia,South Charleston,West Virginia State Police,http://www.wvsp.gov
StPolice,Wisconsin,Madison,Wisconsin State Patrol,http://wisconsindot.gov/Pages/about-wisdot/who-we-are/dsp/default.aspx
StPolice,Wyoming,Cheyenne,Wyoming Highway Patrol,http://www.whp.dot.state.wy.us
