Category,State,City,Institution,Website
College,WI,Appleton,Fox Valley Technical College,https://fvtc.edu/
College,WI,Green Bay,Northeast Wisconsin Technical College,https://www.nwtc.edu/
College,WI,West Bend,Moraine Park Technical College,https://www.morainepark.edu/
College,WI,Cleveland,Lakeshore Technical College,https://gotoltc.edu/
College,WI,Madison,Madison College,https://madisoncollege.edu/
College,WI,Stevens Point,Mid-State Technical College,https://www.mstc.edu/
College,WI,Milwaukee,Milwaukee Area Technical College,https://www.matc.edu/
College,WI,Wausau,Northcentral Technical College,https://www.ntc.edu/
College,WI,Waukesha,Waukesha County Technical College,https://www.wctc.edu/
College,WI,Kenosha,Gateway Technical College,https://www.gtc.edu/
College,WI,La Crosse,Western Technical College,https://www.westerntc.edu/
College,WI,Madison,University of Wisconsin-Madison,https://www.wisc.edu/
College,WI,Milwaukee,University of Wisconsin-Milwaukee,https://www.uwm.edu/
College,WI,Eau Claire,University of Wisconsin-Eau Claire,https://www.uwec.edu/
College,WI,Green Bay,University of Wisconsin-Green Bay,https://www.uwgb.edu/
College,WI,La Crosse,University of Wisconsin-La Crosse,https://www.uwlax.edu/
College,WI,Oshkosh,University of Wisconsin-Oshkosh,https://www.uwosh.edu/
College,WI,Kenosha,University of Wisconsin-Parkside,https://www.uwp.edu/
College,WI,Platteville,University of Wisconsin-Platteville,https://www.uwplatt.edu/
College,WI,River Falls,University of Wisconsin-River Falls,https://www.uwrf.edu/
College,WI,Stevens Point,University of Wisconsin-Stevens Point,https://www.uwsp.edu/
College,WI,Menomonie,University of Wisconsin-Stout,https://www.uwstout.edu/
College,IA,Sioux City,Briar Cliff University,https://www.briarcliff.edu/
College,IA,Pella,Central College,https://www.central.edu/
College,IA,Cedar Rapids,Coe College,https://www.coe.edu/
College,IA,Mount Vernon,Cornell College,https://www.cornellcollege.edu/
College,IA,Des Moines,Des Moines Area Community College,https://www.dmacc.edu/
College,IA,Sioux Center,Dordt University,https://www.dordt.edu/
College,IA,Lamoni,Graceland University,https://www.graceland.edu/
College,IA,Des Moines,Grand View University,https://www.grandview.edu/
College,IA,Fort Dodge,Iowa Central Community College,https://www.iowacentral.edu/
College,IA,Ames,Iowa State University,https://www.iastate.edu/
