Institution,ImageCount,LinkCount,FormCount,StylesheetCount,ScriptCount,CertificateInfo,HostInfo,Title,Description
Anoka-Ramsey Community College,17,171,1,4,6,,,,Anoka-Ramsey Community College is a multi-campus institution and a member of the Minnesota State Colleges and Universities system.
Bemidji State University,12,73,2,4,6,,,,Bemidji State University offers an immersive education that goes beyond the classroom. Build your career with our 70+ undergrad programs and 8 grad degrees.
Briar Cliff University,1,300,1,4,0,,,Briar Cliff University,"The lifelong learning place, preparing ethical world changers."
Central College,6,255,2,9,6,,,,"Central College in Pella, Iowa - Founded in 1853"
Central Michigan University,22,160,1,6,15,,,,"CMU is a public research university in Michigan that offers degree programs in Mount Pleasant, online and locations across North America. Est. 1892."
College of DuPage,28,169,2,5,17,,,,
Cornell College,0,0,0,0,0,,,,
DePaul University,5,162,1,12,26,,,,
Des Moines Area Community College,12,117,1,20,16,,,,
Dordt University,68,169,1,2,3,,,,"Dordt University is a Christian college located in Sioux Center, Iowa, offering 40+ degrees and ranked #1 for student engagement by the WSJ."
Eastern Illinois University,26,143,1,4,4,,,,
Elgin Community College,14,112,0,4,13,,,,"At Elgin Community College, we commit to student success and empower students to reach their full potential through our dedicated faculty and programs."
Ferris State University,10,160,1,10,15,,,,
Fox Valley Technical College,11,165,1,5,11,,,,
Gateway Technical College,22,52,1,6,4,,,,"Gateway Technical College, located in Kenosha, Racine, and Walworth counties, provides education, training, leadership, and technological resources to meet the changing needs of students, employers, and communities."
Graceland University,295,280,3,0,11,,,,"With over 35 areas of study, you'll be sure to find a direction that’s right for your future in one of our in-person or online programs."
Grand Valley State University,11,72,1,1,0,,,,"At Grand Valley State University, we empower learners in their pursuits, professions, and purpose. The university enriches society through excellent teaching, active scholarship, advancement of equity, and public service."
Grand View University,0,533,1,2,1,,,Discover the Viking Experience | Grand View University,"As a small private university in Des Moines, Iowa, we empower students with more than 40 programs of study and our affordable, hands-on learning."
Gustavus Adolphus College,23,69,1,9,1,,,Gustavus Adolphus College,"Gustavus Adolphus College is a church-related, residential liberal arts college firmly rooted in its Swedish and Lutheran heritage."
Hamline University,8,206,1,5,4,,,,"As Minnesota's first university, Hamline, a private liberal arts university in the Twin Cities, prepares undergraduate and graduate students for successful careers."
Hennepin Technical College,15,295,1,13,35,,,,"Unlock your future with affordable tuition and high-wage, high-demand career training. Enroll today!
"
Illinois Institute of Technology,25,124,1,4,4,,,,"Ranked among the best in the U.S., Illinois Tech empowers students with hands-on learning, diverse programs, and a high career-placement rate. Elevate your"
Illinois State University,17,141,1,3,5,,,,"Founded in 1857,  Illinois State University is a top ranked public university in the town of Normal. Explore ISU's 200+ programs and the Redbird community."
Iowa Central Community College,31,158,1,4,8,,,,"Iowa Central Community College is located in Fort Dodge, IA. With over 100 programs to choose from we're an affordable alternative to a 4 year university at a fraction of the cost."
Iowa State University,26,124,2,7,6,,,,
Kalamazoo College,7,166,1,20,23,,,,
Kellogg Community College,21,138,8,10,24,,,,
Lake Superior State University,144,591,5,13,1,,,,"We equip our graduates with the knowledge, practical skills, and inner strength to craft a life of meaningful employment, personal fulfillment, and generosity of self within an inclusive atmosphere, all while enhancing the quality of life of the Great Lakes region and the world."
